year,page_id,page_name,archive_url,image_path,ocr_source
1991,087,b.1991-12.087,http://archive.radio.ru/web/1991/12/087/,.tmp/archive_radio_ru/1991/12/b.1991-12.087.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1991-12/ocr.1991-12.087.txt
1991,088,b.1991-12.088,http://archive.radio.ru/web/1991/12/088/,.tmp/archive_radio_ru/1991/12/b.1991-12.088.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1991-12/ocr.1991-12.088.txt
1991,089,b.1991-12.089,http://archive.radio.ru/web/1991/12/089/,.tmp/archive_radio_ru/1991/12/b.1991-12.089.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1991-12/ocr.1991-12.089.txt
1992,054,b.1992-12.054,http://archive.radio.ru/web/1992/12/054/,.tmp/archive_radio_ru/1992/12/b.1992-12.054.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1992-12/ocr.1992-12.054.txt
1992,055,b.1992-12.055,http://archive.radio.ru/web/1992/12/055/,.tmp/archive_radio_ru/1992/12/b.1992-12.055.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1992-12/ocr.1992-12.055.txt
1992,056,b.1992-12.056,http://archive.radio.ru/web/1992/12/056/,.tmp/archive_radio_ru/1992/12/b.1992-12.056.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1992-12/ocr.1992-12.056.txt
1992,057,b.1992-12.057,http://archive.radio.ru/web/1992/12/057/,.tmp/archive_radio_ru/1992/12/b.1992-12.057.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1992-12/ocr.1992-12.057.txt
1992,058,b.1992-12.058,http://archive.radio.ru/web/1992/12/058/,.tmp/archive_radio_ru/1992/12/b.1992-12.058.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1992-12/ocr.1992-12.058.txt
1993,043,b.1993-12.043,http://archive.radio.ru/web/1993/12/043/,.tmp/archive_radio_ru/1993/12/b.1993-12.043.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1993-12/ocr.1993-12.043.txt
1993,044,b.1993-12.044,http://archive.radio.ru/web/1993/12/044/,.tmp/archive_radio_ru/1993/12/b.1993-12.044.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1993-12/ocr.1993-12.044.txt
1993,045,b.1993-12.045,http://archive.radio.ru/web/1993/12/045/,.tmp/archive_radio_ru/1993/12/b.1993-12.045.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1993-12/ocr.1993-12.045.txt
1993,046,b.1993-12.046,http://archive.radio.ru/web/1993/12/046/,.tmp/archive_radio_ru/1993/12/b.1993-12.046.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1993-12/ocr.1993-12.046.txt
1994,047,b.1994-12.047,http://archive.radio.ru/web/1994/12/047/,.tmp/archive_radio_ru/1994/12/b.1994-12.047.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1994-12/ocr.1994-12.047.txt
1994,048,b.1994-12.048,http://archive.radio.ru/web/1994/12/048/,.tmp/archive_radio_ru/1994/12/b.1994-12.048.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1994-12/ocr.1994-12.048.txt
1995,059,b.1995-12.059,http://archive.radio.ru/web/1995/12/059/,.tmp/archive_radio_ru/1995/12/b.1995-12.059.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1995-12/ocr.1995-12.059.txt
1995,060,b.1995-12.060,http://archive.radio.ru/web/1995/12/060/,.tmp/archive_radio_ru/1995/12/b.1995-12.060.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1995-12/ocr.1995-12.060.txt
1995,061,b.1995-12.061,http://archive.radio.ru/web/1995/12/061/,.tmp/archive_radio_ru/1995/12/b.1995-12.061.jpg,.tmp/radio_ru_annual_contents_1986_1995/search/1995-12/ocr.1995-12.061.txt
