 9.44060876e+02  9.44060876e+02  0.00000000e+00 -1.37338843e+00 -5.31027410e-01 
 1.00000000e+03  1.00000000e+03  0.00000000e+00 -1.50720889e+00 -5.56509441e-01 
 1.05925373e+03  1.05925373e+03  0.00000000e+00 -1.65260692e+00 -5.82647634e-01 
 1.12201845e+03  1.12201845e+03  0.00000000e+00 -1.81015305e+00 -6.09385741e-01 
 1.18850223e+03  1.18850223e+03  0.00000000e+00 -1.98037493e+00 -6.36659459e-01 
 1.25892541e+03  1.25892541e+03  0.00000000e+00 -2.16374618e+00 -6.64396909e-01 
 1.33352143e+03  1.33352143e+03  0.00000000e+00 -2.36067590e+00 -6.92519352e-01 
 1.41253754e+03  1.41253754e+03  0.00000000e+00 -2.57149899e+00 -7.20942137e-01 
 1.49623566e+03  1.49623566e+03  0.00000000e+00 -2.79646798e+00 -7.49575865e-01 
 1.58489319e+03  1.58489319e+03  0.00000000e+00 -3.03574661e+00 -7.78327730e-01 
 1.67880402e+03  1.67880402e+03  0.00000000e+00 -3.28940558e+00 -8.07102988e-01 
 1.77827941e+03  1.77827941e+03  0.00000000e+00 -3.55742073e+00 -8.35806512e-01 
 1.88364909e+03  1.88364909e+03  0.00000000e+00 -3.83967363e+00 -8.64344354e-01 
 1.99526231e+03  1.99526231e+03  0.00000000e+00 -4.13595472e+00 -8.92625264e-01 
 2.11348904e+03  2.11348904e+03  0.00000000e+00 -4.44596864e+00 -9.20562101e-01 
 2.23872114e+03  2.23872114e+03  0.00000000e+00 -4.76934162e+00 -9.48073088e-01 
 2.37137371e+03  2.37137371e+03  0.00000000e+00 -5.10563047e+00 -9.75082871e-01 
 2.51188643e+03  2.51188643e+03  0.00000000e+00 -5.45433273e+00 -1.00152335e+00 
 2.66072506e+03  2.66072506e+03  0.00000000e+00 -5.81489753e+00 -1.02733428e+00 
 2.81838293e+03  2.81838293e+03  0.00000000e+00 -6.18673676e+00 -1.05246361e+00 
 2.98538262e+03  2.98538262e+03  0.00000000e+00 -6.56923600e+00 -1.07686763e+00 
 3.16227766e+03  3.16227766e+03  0.00000000e+00 -6.96176496e+00 -1.10051089e+00 
 3.34965439e+03  3.34965439e+03  0.00000000e+00 -7.36368715e+00 -1.12336593e+00 
 3.54813389e+03  3.54813389e+03  0.00000000e+00 -7.77436850e+00 -1.14541292e+00 
 3.75837404e+03  3.75837404e+03  0.00000000e+00 -8.19318485e+00 -1.16663910e+00 
 3.98107171e+03  3.98107171e+03  0.00000000e+00 -8.61952824e+00 -1.18703822e+00 
 4.21696503e+03  4.21696503e+03  0.00000000e+00 -9.05281205e+00 -1.20660988e+00 
 4.46683592e+03  4.46683592e+03  0.00000000e+00 -9.49247490e+00 -1.22535887e+00 
 4.73151259e+03  4.73151259e+03  0.00000000e+00 -9.93798365e+00 -1.24329453e+00 
 5.01187234e+03  5.01187234e+03  0.00000000e+00 -1.03888353e+01 -1.26043004e+00 
 5.30884444e+03  5.30884444e+03  0.00000000e+00 -1.08445580e+01 -1.27678188e+00 
 5.62341325e+03  5.62341325e+03  0.00000000e+00 -1.13047117e+01 -1.29236919e+00 
 5.95662144e+03  5.95662144e+03  0.00000000e+00 -1.17688879e+01 -1.30721325e+00 
 6.30957344e+03  6.30957344e+03  0.00000000e+00 -1.22367090e+01 -1.32133705e+00 
 6.68343918e+03  6.68343918e+03  0.00000000e+00 -1.27078271e+01 -1.33476480e+00 
 7.07945784e+03  7.07945784e+03  0.00000000e+00 -1.31819233e+01 -1.34752158e+00 
 7.49894209e+03  7.49894209e+03  0.00000000e+00 -1.36587055e+01 -1.35963303e+00 
 7.94328235e+03  7.94328235e+03  0.00000000e+00 -1.41379075e+01 -1.37112503e+00 
 8.41395142e+03  8.41395142e+03  0.00000000e+00 -1.46192870e+01 -1.38202351e+00 
 8.91250938e+03  8.91250938e+03  0.00000000e+00 -1.51026238e+01 -1.39235419e+00 
 9.44060876e+03  9.44060876e+03  0.00000000e+00 -1.55877187e+01 -1.40214248e+00 
 1.00000000e+04  1.00000000e+04  0.00000000e+00 -1.60743913e+01 -1.41141329e+00 
 1.05925373e+04  1.05925373e+04  0.00000000e+00 -1.65624786e+01 -1.42019095e+00 
 1.12201845e+04  1.12201845e+04  0.00000000e+00 -1.70518338e+01 -1.42849914e+00 
 1.18850223e+04  1.18850223e+04  0.00000000e+00 -1.75423246e+01 -1.43636079e+00 
 1.25892541e+04  1.25892541e+04  0.00000000e+00 -1.80338319e+01 -1.44379805e+00 
 1.33352143e+04  1.33352143e+04  0.00000000e+00 -1.85262488e+01 -1.45083228e+00 
 1.41253754e+04  1.41253754e+04  0.00000000e+00 -1.90194791e+01 -1.45748399e+00 
 1.49623566e+04  1.49623566e+04  0.00000000e+00 -1.95134368e+01 -1.46377288e+00 
 1.58489319e+04  1.58489319e+04  0.00000000e+00 -2.00080444e+01 -1.46971779e+00 
 1.67880402e+04  1.67880402e+04  0.00000000e+00 -2.05032328e+01 -1.47533675e+00 
 1.77827941e+04  1.77827941e+04  0.00000000e+00 -2.09989400e+01 -1.48064694e+00 
 1.88364909e+04  1.88364909e+04  0.00000000e+00 -2.14951104e+01 -1.48566477e+00 
 1.99526231e+04  1.99526231e+04  0.00000000e+00 -2.19916945e+01 -1.49040586e+00 
 2.11348904e+04  2.11348904e+04  0.00000000e+00 -2.24886477e+01 -1.49488507e+00 
 2.23872114e+04  2.23872114e+04  0.00000000e+00 -2.29859305e+01 -1.49911652e+00 
