 1.22030953e+01  1.22030953e+01  0.00000000e+00  1.22030953e+01  2.14564586e+01  1.22030953e+01 -1.37580141e+00
 1.25594322e+01  1.25594322e+01  0.00000000e+00  1.25594322e+01  2.17299707e+01  1.25594322e+01 -1.38822566e+00
 1.29261742e+01  1.29261742e+01  0.00000000e+00  1.29261742e+01  2.20018253e+01  1.29261742e+01 -1.40057371e+00
 1.33036253e+01  1.33036253e+01  0.00000000e+00  1.33036253e+01  2.22720673e+01  1.33036253e+01 -1.41284947e+00
 1.36920982e+01  1.36920982e+01  0.00000000e+00  1.36920982e+01  2.25407392e+01  1.36920982e+01 -1.42505715e+00
 1.40919147e+01  1.40919147e+01  0.00000000e+00  1.40919147e+01  2.28078810e+01  1.40919147e+01 -1.43720117e+00
 1.45034060e+01  1.45034060e+01  0.00000000e+00  1.45034060e+01  2.30735296e+01  1.45034060e+01 -1.44928622e+00
 1.49269131e+01  1.49269131e+01  0.00000000e+00  1.49269131e+01  2.33377195e+01  1.49269131e+01 -1.46131720e+00
 1.53627868e+01  1.53627868e+01  0.00000000e+00  1.53627868e+01  2.36004822e+01  1.53627868e+01 -1.47329920e+00
 1.58113883e+01  1.58113883e+01  0.00000000e+00  1.58113883e+01  2.38618462e+01  1.58113883e+01 -1.48523749e+00
 1.62730892e+01  1.62730892e+01  0.00000000e+00  1.62730892e+01  2.41218374e+01  1.62730892e+01 -1.49713752e+00
 1.67482720e+01  1.67482720e+01  0.00000000e+00  1.67482720e+01  2.43804784e+01  1.67482720e+01 -1.50900485e+00
 1.72373303e+01  1.72373303e+01  0.00000000e+00  1.72373303e+01  2.46377892e+01  1.72373303e+01 -1.52084521e+00
 1.77406695e+01  1.77406695e+01  0.00000000e+00  1.77406695e+01  2.48937865e+01  1.77406695e+01 -1.53266439e+00
 1.82587064e+01  1.82587064e+01  0.00000000e+00  1.82587064e+01  2.51484841e+01  1.82587064e+01 -1.54446833e+00
 1.87918702e+01  1.87918702e+01  0.00000000e+00  1.87918702e+01  2.54018930e+01  1.87918702e+01 -1.55626300e+00
